V1V2_ID_in_metafile	decy	yyyymmdd	order_number	Fluo.ug.L.	percent_prasino_of_plastid
C2_N1_S104	2016.5212	20160709	1	0.0158	6.585365854
C5_N1_S120	2016.5226	20160710	2	0.0206	8.679245283
C7_N1_S112	2016.5233	20160710	3	0.0137	7.354925776
C8_N1_S88	2016.524	20160710	4	0.0166	8.081896552
C11_N1_S96	2016.5248	20160711	5	0.021	5.227272727
C12_N1_S128	2016.5255	20160711	6	0.0174	7.177033493
C14_N1_S80	2016.526	20160711	7	0.0264	4.732824427
C15_N1_S65	2016.5268	20160711	8	0.0203	4.735376045
C18_N1_S72	2016.5282	20160712	9	0.0216	3.687943262
NA	2016.56153	20160724	10	0	0
10327_1_S89	2016.6305	20160818	11	0.013	0.290909091
10328_1_S101	2016.72544	20160922	12	0.025	1.329394387
BS_1_S62	2016.80194	20161020	13	0.038	1.212121212
BS_13_S74	2016.88943	20161121	14	0.063	2.540834846
BS_25_S86	2016.95561	20161215	15	0.033	0.679117148
BS_37_S98	2017.020495	20170108	16	0.1336	53.89487017
BS_49_S110	2017.131779	20170218	17	NA	20.3271028
NA	2017.2	NA	18	0	0
C4_1_S25	2017.2509	20170402	19	0.0982	50.67292645
C8_1_S33	2017.2519	20170402	20	0.192	57.59202454
C11_1_S41	2017.2532	20170403	21	0.1362	55.79298831
C14_1_S49	2017.2546	20170403	22	0.1615	54.11471322
C16_1_S57	2017.2559	20170404	23	0.1059	69.44444444
BS_61_S122	2017.275335	20170411	24	0.0801	30.62992126
BS_73_S134	2017.294414	20170418	25	0.022	0.974251914
BS_81_S142	2017.35195	20170509	26	0.0234	0.929944203
BS81a_S1	2017.35195	20170509	27	0.0234	0.983606557
BS_101_S9	2017.453194	20170615	28	0.0329	4.897959184
BS_113_S21	2017.549353	20170720	29	0.0228	0
BS_124_S32	2017.626621	20170817	30	0.0136	1.248266297
BS_135_S43	2017.702755	20170914	31	0.0237	3.75
BS_147_S55	2017.79426	20171017	32	0.0503	1.908957416
BS_159_S67	2017.883588	20171119	33	0.0767	0.85995086
BS_171_S79	2017.952139	20171214	34	0.0775	20.0286123
BS_183_S21	2018.0455	20180117	35	0.0412	4.645476773
BS_195_S33	2018.11621	20180212	36	0.0775	11.2195122
BS_207_S45	2018.155713	20180226	37	0.036	0.924295775
BS_215_S53	2018.229804	20180325	38	0.1585	40.17467249
BS_227_S65	2018.288845	20180416	39	0.0369	2.495840266
BS_239_S77	2018.31503	20180425	40	0.0592	0
BS_247_S85	2018.395738	20180525	41	0.0387	0.787401575
BS_259_S97	2018.450381	20180614	42	0.0416	1.641414141
1819C1N1_S17	2018.5035	20180703	43	0.0349	0.99940036
1819C3N2_S25	2018.5042	20180704	44	0.0407	0.703812317
1819C5N2_S33	2018.5051	20180704	45	0.0372	1.356743815
1819C6N2_S41	2018.5061	20180704	46	0.0368	1.054852321
1819C7N2_S49	2018.507	20180705	47	0.0384	0.726612171
1819C9N1_S57	2018.5079	20180705	48	0.0399	0
1819C10N2_S65	2018.5086	20180705	49	0.0427	1.359003398
1819C11N2_S73	2018.5094	20180705	50	0.0279	0.267857143
BS271_S109	2018.55457	20180722	51	0.0281	0.968858131
BS283_S121	2018.620327	20180815	52	0.0346	2.420382166
BS295_S133	2018.699772	20180913	53	0.0299	2.030456853
BS307_S145	2018.809372	20181023	54	0.0297	1.567944251
BS319_S157	2018.853994	20181108	55	0.0459	0
BS330_S167	2018.957498	20181216	56	0.0756	1.337086559
BS342_S1	2019.034551	20190113	57	0.0737	24.83574244
BS354_S13	2019.134199	20190218	58	0.2317	54.09556314
BS366_S25	2019.191581	20190311	59	0.2516	5.269186712
BS378_S37	2019.278154	20190412	60	0.0471	1.278772379
BS390_S49	2019.303489	20190421	61	0.0292	0.313479624
BS398_S57	2019.370139	20190516	62	0.0291	0
BS410_S69	2019.3844	20190521	63	0.0266	0.752688172
BS422_S81	2019.3858	20190521	64	0.0658	8.437365476
BS434_S93	2019.3886	20190522	65	0.0373	1.21602289
BS446_S105	2019.437869	20190609	66	0.0272	0.858895706
BS458_S117	2019.5168	20190708	67	0.0551	2.753872633
BS466_S125	2019.5179	20190709	68	0.0336	1.618705036
BS474_S133	2019.5189	20190709	69	0.033	0.872727273
BS482_S141	2019.5208	20190710	70	0.0259	4.812834225
BS490_S149	2019.5215	20190710	71	0.0313	3.58056266
BS498_S157	2019.5226	20190710	72	0.0334	1.895734597
BS506_S165	2019.5235	20190711	73	0.0571	10.79812207
BS514_S173	2019.5244	20190711	74	0.0278	11.70068027
BS522_S1	2019.542618	20190718	75	0.0321	2.491694352
BS534_S13	2019.637348	20190821	76	0.0376	10.125
BS546_S25	2019.694842	20190911	77	0.0219	3.909205549
BS558_S37	2019.812089	20191024	78	0.0393	12.38670695
BS570_S49	2019.887414	20191120	79	0.0999	17.94425087
BS582_S61	2019.950715	20191214	80	0.0611	6.974128234