V1V2_ID_in_metafile,V1V2_ID,decy,
C2_N1_S104,C2_N1_S104,2016.5212,
C5_N1_S120,C5_N1_S120,2016.5226,
C7_N1_S112,C7_N1_S112,2016.5233,
C8_N1_S88,C8_N1_S88,2016.524,
C11_N1_S96,C11_N1_S96,2016.5248,
C12_N1_S128,C12_N1_S128,2016.5255,
C14_N1_S80,C14_N1_S80,2016.526,
C15_N1_S65,C15_N1_S65,2016.5268,
C18_N1_S72,C18_N1_S72,2016.5282,
,,2016.56153,
10327_1_S89,X10327.1_S89,2016.6305,
10328_1_S101,X10328.1_S101,2016.72544,
BS_1_S62,BS.1_S62,2016.80194,
BS_13_S74,BS.13_S74,2016.88943,
BS_25_S86,BS.25_S86,2016.95561,
BS_37_S98,BS.37_S98,2017.020495,
BS_49_S110,BS.49_S110,2017.131779,
,,-999,
C4_1_S25,C4_1_S25,2017.2509,
C8_1_S33,C8_1_S33,2017.2519,
C11_1_S41,C11_1_S41,2017.2532,
C14_1_S49,C14_1_S49,2017.2546,
C16_1_S57,C16_1_S57,2017.2559,
BS_61_S122,BS.61_S122,2017.275335,
BS_73_S134,BS.73_S134,2017.294414,
BS_81_S142,BS.81_S142,2017.35195,
BS81a_S1,BS81a_S1,2017.35195,
BS_101_S9,BS.101_S9,2017.453194,
BS_113_S21,BS.113_S21,2017.549353,
BS_124_S32,BS.124_S32,2017.626621,
BS_135_S43,BS.135_S43,2017.702755,
BS_147_S55,BS.147_S55,2017.79426,
BS_159_S67,BS.159_S67,2017.883588,
BS_171_S79,BS.171_S79,2017.952139,
BS_183_S21,BS183_S21,2018.0455,
BS_195_S33,BS195_S33,2018.11621,
BS_207_S45,BS207_S45,2018.155713,
BS_215_S53,BS215_S53,2018.229804,
BS_227_S65,BS227_S65,2018.288845,
,,2018.31503,
BS_247_S85,BS247_S85,2018.395738,
BS_259_S97,BS259_S97,2018.450381,
1819C1N1_S17,1819C1N1_S17,2018.5035,
1819C3N2_S25,1819C3N2_S25,2018.5042,
1819C5N2_S33,1819C5N2_S33,2018.5051,
1819C6N2_S41,1819C6N2_S41,2018.5061,
1819C7N2_S49,1819C7N2_S49,2018.507,
1819C9N1_S57,1819C9N1_S57,2018.5079,
1819C10N2_S65,1819C10N2_S65,2018.5086,
1819C11N2_S73,1819C11N2_S73,2018.5094,
BS271_S109,BS271_S109,2018.55457,
BS283_S121,BS283_S121,2018.620327,
BS295_S133,BS295_S133,2018.699772,
BS307_S145,BS307_S145,2018.809372,
,,2018.853994,
BS330_S167,BS330_S167,2018.957498,
BS342_S1,BS342_S1,2019.034551,
BS354_S13,BS354_S13,2019.134199,
BS366_S25,BS366_S25,2019.191581,
BS378_S37,BS378_S37,2019.278154,
BS390_S49,BS390_S49,2019.303489,
BS398_S57,BS398_S57,2019.370139,
BS410_S69,BS410_S69,2019.3844,
BS422_S81,BS422_S81,2019.3858,
BS434_S93,BS434_S93,2019.3886,
BS446_S105,BS446_S105,2019.437869,
BS458_S117,BS458_S117,2019.5168,
BS466_S125,BS466_S125,2019.5179,
BS474_S133,BS474_S133,2019.5189,
BS482_S141,BS482_S141,2019.5208,
BS490_S149,BS490_S149,2019.5215,
BS498_S157,BS498_S157,2019.5226,
BS506_S165,BS506_S165,2019.5235,
BS514_S173,BS514_S173,2019.5244,
BS522_S1,BS522_S1,2019.542618,
BS534_S13,BS534_S13,2019.637348,
BS546_S25,BS546_S25,2019.694842,
BS558_S37,BS558_S37,2019.812089,
BS570_S49,BS570_S49,2019.887414,
BS582_S61,BS582_S61,2019.950715,